"","x"
"z[1173]",0.99936
"z[1174]",0.99936
"z[1175]",0.99924
"z[1176]",0.99929
"z[1177]",0.99916
"z[1178]",0.99963
"z[1179]",0.99966
"z[1180]",0.99962
"z[1181]",0.99955
"z[1182]",0.99945
"z[1183]",0.99944
"z[1184]",0.99949
"z[1185]",0.99929
"z[1186]",0.99893
"z[1187]",0.99927
"z[1188]",0.99924
"z[1189]",0.99837
"z[1190]",0.9969
"z[1191]",0.99662
"z[1192]",0.99613
"z[1193]",0.99423
"z[1194]",0.99758
"z[1195]",0.99912
"z[1196]",0.9996
"z[1197]",0.99978
"z[1198]",0.99966
"z[1199]",0.9995
"z[1200]",0.99913
"z[1201]",0.99876
"z[1202]",0.99799
"z[1203]",0.99628
"z[1204]",0.99781
"z[1205]",0.9987
"z[1206]",0.99873
"z[1207]",0.99835
"z[1208]",0.99821
"z[1209]",0.99911
"z[1210]",0.99948
"z[1211]",0.99959
"z[1212]",0.99952
"z[1213]",0.99944
"z[1214]",0.99942
"z[1215]",0.99924
"z[1216]",0.99916
"z[1217]",0.99886
"z[1218]",0.99907
"z[1219]",0.99879
"z[1220]",0.99771
"z[1221]",0.99558
"z[1222]",0.99686
"z[1223]",0.99714
"z[1224]",0.99798
"z[1225]",0.99819
"z[1226]",0.99791
"z[1227]",0.99893
"z[1228]",0.9994
"z[1229]",0.9996
"z[1230]",0.9996
"z[1231]",0.99956
"z[1232]",0.99935
"z[1233]",0.99922
"z[1234]",0.99894
"z[1235]",0.99843
"z[1236]",0.99743
"z[1237]",0.9952
"z[1238]",0.99186
"z[1239]",0.99639
"z[1240]",0.99786
"z[1241]",0.99852
"z[1242]",0.99859
"z[1243]",0.99833
"z[1244]",0.99795
"z[1245]",0.99849
"z[1246]",0.99903
"z[1247]",0.99904
